,0,1,2
0,0.0438012100823,t0,t1
1,0.397733816493,t1,t2
2,0.785570780073,t0,t3
3,0.853851980513,t0,t4
4,0.976649150624,t0,t5
5,1.00830279431,t4,t6
6,1.10784044274,t6,t7
7,1.10908870948,t1,t8
8,1.12562677326,t8,t9
9,1.1459537824,t4,t10
10,1.16533888591,t4,t11
11,1.32730355426,t5,t12
12,1.33499126128,t4,t13
13,1.44076662552,t4,t14
14,1.51438877949,t10,t15
15,1.5464238801,t10,t16
16,1.70467949785,t8,t17
17,1.78627039609,t13,t18
18,1.90811012326,t8,t19
19,1.92595566131,t7,t20
20,1.96532974122,t13,t21
21,1.97566236104,t19,t22
22,1.99147665702,t13,t23
23,2.00100500317,t22,t24
24,2.02701539148,t5,t25
25,2.03683929521,t23,t26
26,2.06137947193,t12,t27
27,2.0643727363,t14,t28
28,2.07241101814,t21,t29
29,2.09677501006,t28,t30
30,2.10064464153,t20,t31
31,2.12351735642,t24,t32
32,2.14853200251,t14,t33
33,2.16631269808,t26,t34
34,2.18037669907,t20,t35
35,2.23295608878,t20,t36
36,2.2700227845,t33,t37
37,2.28525598305,t26,t38
38,2.29474379213,t36,t39
39,2.30938274493,t30,t40
40,2.32125356176,t35,t41
41,2.38005705707,t33,t42
42,2.39663603044,t41,t43
43,2.40801500075,t36,t44
44,2.42475355632,t25,t45
45,2.43625848316,t43,t46
46,2.46134275366,t24,t47
47,2.47975888268,t45,t48
48,2.48624956363,t28,t49
49,2.49304908343,t28,t50
50,2.49519283937,t48,t51
51,2.50629239976,t47,t52
52,2.50857989226,t44,t53
53,2.5207935037,t46,t54
54,2.52492662137,t46,t55
55,2.58320498436,t44,t56
56,2.65042405663,t46,t57
57,2.65365976784,t24,t58
58,2.66483658639,t24,t59
59,2.68051394492,t21,t60
60,2.69907343078,t31,t61
61,2.73923810425,t15,t62
62,2.74299375876,t53,t63
63,2.74787859484,t46,t64
64,2.75129610964,t23,t65
65,2.75701174746,t56,t66
66,2.77170319068,t54,t67
67,2.77203886755,t50,t68
68,2.79543004201,t24,t69
69,2.79653132711,t5,t70
70,2.81386381983,t69,t71
71,2.81777084692,t8,t72
72,2.83321920764,t19,t73
73,2.85186049866,t45,t74
74,2.8728104958,t44,t75
75,2.8746041502,t63,t76
76,2.8801421845,t46,t77
77,2.89114142709,t59,t78
78,2.89827900668,t57,t79
79,2.91445949352,t77,t80
80,2.93285057586,t59,t81
81,2.96477691473,t67,t82
82,2.99272065514,t45,t83
83,2.99280365342,t31,t84
84,2.99593084425,t83,t85
85,3.00690325376,t49,t86
86,3.0267145412,t76,t87
87,3.03699937605,t65,t88
88,3.03704593209,t85,t89
89,3.09662086504,t36,t90
90,3.10828422485,t15,t91
91,3.11823410518,t49,t92
92,3.12717046614,t79,t93
93,3.13739177456,t69,t94
94,3.17309621922,t79,t95
95,3.17416875431,t81,t96
96,3.19351978713,t74,t97
97,3.21073710182,t92,t98
98,3.22187953127,t59,t99
99,3.22298301082,t53,t100
100,3.23242647125,t36,t101
101,3.24167927973,t19,t102
102,3.24594881729,t92,t103
103,3.25478655705,t92,t104
104,3.27406992585,t95,t105
105,3.27693921722,t23,t106
106,3.27956313785,t19,t107
107,3.27956741669,t102,t108
108,3.28455098526,t69,t109
109,3.2944393067,t95,t110
110,3.29760408701,t73,t111
111,3.32074225092,t80,t112
112,3.32306613501,t19,t113
113,3.3244576483,t80,t114
114,3.32501365455,t80,t115
115,3.35714294662,t86,t116
116,3.37045349772,t116,t117
117,3.37236029122,t89,t118
118,3.38510569888,t67,t119
119,3.39401041123,t62,t120
120,3.39742018336,t53,t121
121,3.42139716922,t24,t122
122,3.44101527312,t53,t123
123,3.44533379976,t115,t124
124,3.4514471445,t97,t125
125,3.46056869007,t23,t126
126,3.46890116385,t95,t127
127,3.46991764255,t107,t128
128,3.47476584144,t98,t129
129,3.48414590332,t106,t130
130,3.48824805579,t8,t131
131,3.49340429284,t88,t132
132,3.49618425176,t129,t133
133,3.49883766369,t132,t134
134,3.51010936016,t24,t135
135,3.51075559058,t112,t136
136,3.51207879294,t48,t137
137,3.5122530827,t31,t138
138,3.52474063433,t131,t139
139,3.52840103054,t67,t140
140,3.53706459501,t127,t141
141,3.54791811456,t133,t142
142,3.55024004391,t134,t143
143,3.55625806976,t99,t144
144,3.56456643372,t127,t145
145,3.58533961733,t62,t146
146,3.58802574562,t43,t147
147,3.59018944031,t67,t148
148,3.59606587426,t117,t149
149,3.60819847195,t86,t150
150,3.62681768875,t88,t151
151,3.6336036688,t107,t152
152,3.63900361895,t108,t153
153,3.6654030488,t49,t154
154,3.66679454099,t132,t155
155,3.66809029368,t140,t156
156,3.68074247735,t112,t157
157,3.68414312831,t120,t158
158,3.68865197963,t62,t159
159,3.69326183577,t104,t160
160,3.72321791279,t62,t161
161,3.72351289844,t73,t162
162,3.7276984649,t114,t163
163,3.73026774217,t89,t164
164,3.73525887412,t152,t165
165,3.74521743361,t39,t166
166,3.75238310314,t165,t167
167,3.76011639026,t162,t168
168,3.77287698825,t116,t169
169,3.77736026662,t59,t170
170,3.78013697534,t77,t171
171,3.79242583174,t112,t172
172,3.79497102675,t104,t173
173,3.79947215584,t77,t174
174,3.8152670815,t31,t175
175,3.81561216861,t167,t176
176,3.8278187264,t86,t177
177,3.83779498247,t79,t178
178,3.85572478736,t105,t179
179,3.86160401467,t153,t180
180,3.86491990564,t24,t181
181,3.86622696876,t24,t182
182,3.86861391331,t63,t183
183,3.86986646049,t53,t184
184,3.87173080104,t179,t185
185,3.87662109297,t174,t186
186,3.88643203874,t162,t187
187,3.88997993504,t159,t188
188,3.90371629241,t151,t189
189,3.90727920356,t73,t190
190,3.90859756774,t8,t191
191,3.9096846054,t99,t192
192,3.93706323801,t177,t193
193,3.93715899025,t92,t194
